model_name,RMSE,RMSPE,Max Abs Error,Mean Abs Error,Median Abs Error,Model
Autoformer_model,1.9315098126022487,0.8441568495473625,3.2869003295898445,1.69476531346639,1.4400180816650394,Autoformer
AutoBiTCN_model,19.627571275658628,8.084254176940805,23.012585735321046,19.42304819822312,20.408874988555908,AutoBiTCN
AutoDeepAR_model,12.044608525508744,5.170058167321451,18.921210479736327,11.747612953186035,11.743130111694336,AutoDeepAR
AutoDilatedRNN_model,12.108568551898989,4.902048845405912,16.73994369506836,11.728271579742431,11.926073455810547,AutoDilatedRNN
AutoGRU_model,9.60784783737621,3.875520133512856,14.370639038085937,9.135587120056153,8.48453826904297,AutoGRU
AutoRNN_model,10.796256218712143,4.966579630169935,16.059724426269533,10.51661500930786,10.044329071044922,AutoRNN
AutoTCN_model,24.051505409055416,9.715218123569992,28.95999882221222,23.6131536602974,24.75999611020088,AutoTCN
AutoTFT_model,5.203650936292757,2.3302372686152424,7.178529357910158,4.86469051361084,5.322082328796387,AutoTFT
LSTM_model,9.79182580758985,3.946486711403901,17.322055053710937,9.010443210601808,7.816189002990722,LSTM
VanillaTransformer_model,2.5703661382958574,1.193212393417165,4.724282836914064,2.2933887481689457,2.364911270141602,VanillaTransformer
